天津联通,#genre#
天津经济广播,http://nas.hssvm.com:8888/udp/225.2.1.172:5000
天津新闻广播,http://nas.hssvm.com:8888/udp/225.2.1.173:5000
天津生活广播,http://nas.hssvm.com:8888/udp/225.2.1.174:5000
天津交通广播,http://nas.hssvm.com:8888/udp/225.2.1.175:5000
天津相声广播,http://nas.hssvm.com:8888/udp/225.2.1.176:5000
天津小说广播,http://nas.hssvm.com:8888/udp/225.2.1.177:5000
天津私家车广播,http://nas.hssvm.com:8888/udp/225.2.1.178:5000
天津音乐广播,http://nas.hssvm.com:8888/udp/225.2.1.179:5000
天津经典音乐广播,http://nas.hssvm.com:8888/udp/225.2.1.180:5000

